ID,EC,OM,BD,P,SAND,SILT,CLAY,N,K,Ca,Mg,Na,CEC,SAR,ESP,Class.pH
31.12,1.4,2.4,1.4,21,65.5,16.7,17.8,0,0.4,3.1,2.9,0.4,8.9,0.1,0,Moderately acidic
2,0.4,1.3,1.3,10.5,18.2,30,51.8,0.1,2.1,54.1,3.4,5.9,40.7,0.2,0.1,Strongly alkaline
4.1,1.1,1.2,1.4,6.3,26.2,20.2,21.8,0.1,2.3,23.8,3.6,0.3,18.9,0,0,Moderately alkaline
6,0.4,3.2,1.3,4.2,32.9,26,41.1,0.1,1.8,91.5,10.6,0.2,36.3,0,0,Moderately alkaline
7,0.9,1.2,1.7,5.2,64.2,22.7,13.1,0.1,0.9,5.9,3,0.2,9.9,0.1,0,Moderately acidic
9,0.5,1.6,1.7,6.3,20.2,16.2,31.8,0.1,1.4,15.3,4.8,0.2,22.1,0,0,Moderately acidic
9.1,3.1,0.7,1.7,17.8,18.2,38,43.8,0.1,0.5,26.2,2.6,0.2,35.3,0,0,Moderately acidic
14.1,10.1,1.6,1.7,8.4,14.2,16.7,69.1,0.1,2.2,49.5,2.8,1,32.4,0,0,Moderately alkaline
17,0.5,2.6,1.2,25.2,27.5,43.3,29.2,0.2,1.5,13.9,3.7,30.12,14.6,0,0,Neutral
72,0.7,5.9,1.2,86.6,16.2,20,63.8,0.1,1.8,71.2,14.8,2.6,71.1,0.1,0,Moderately alkaline
80,0.2,1.4,1.7,40.3,26.2,28,45.8,0.2,2.1,9.4,6.1,1.3,17.1,0.2,0.1,Strongly acidic
81,0.3,1.7,1.6,30.8,47.5,21.1,30.5,0.1,1.1,2.8,2.2,0,9,0,0,Moderately acidic
82,0.4,1.2,1.7,14.7,58.2,11.1,29.8,30.12,1.3,22.4,6.3,30.12,15.4,0,0,Moderately alkaline
86,0.8,1.1,1.5,51.7,38.2,26.7,35.1,30.12,1.7,7.8,1.9,30.12,16.5,0,0,Moderately acidic
89,0.7,1.6,1.4,12.6,29.5,24,46.5,0.1,1.3,41.3,9.5,4.1,43.6,0.1,0.1,Moderately alkaline
94,0.1,2.5,1.6,51.7,58.2,20.7,21.1,30.12,1.7,4.9,1,0.5,10.4,0.1,0,Moderately acidic
10.4,3.8,3.6,1.4,26.8,36.9,31.1,31.1,0.1,0.5,1.3,2.4,0.2,8.8,0.1,0,Moderately acidic
102,0.3,3.1,1.5,43.7,57.5,17.1,24.5,30.12,1.5,39.2,0.6,0.9,19.2,0,0,Moderately alkaline
103,0.2,1.4,1.7,78.5,16.9,19.8,63.2,0.1,2.5,59.7,2.4,1.4,53.5,0,0,Moderately alkaline
104,0.2,3.1,1.6,27.8,20.2,19.3,60.5,0.1,0.8,11.1,3.9,0,37.2,0,0,Moderately acidic
106,0.3,1.4,1.6,56.4,14.8,24,61.2,0.2,0.9,42.2,2.9,0.6,18.5,0,0,Strongly alkaline
22.4,1.4,3.1,1.5,12.9,18.2,18.2,31.8,0,0.2,25.8,2.5,0.8,6.5,0,0.1,Moderately alkaline
114,0.1,2.2,1.5,40.7,55.5,17.1,26.5,0,0.7,2.1,1.2,30.12,6.8,0,0,Moderately acidic
115,0.4,1.4,1.6,49.7,31.1,26.7,41.2,0.4,0.4,55.5,0.9,0.5,33.1,0,0,Moderately alkaline
120,0.2,2.8,1.6,22.8,57.5,10,32.5,0.1,0.1,0.1,2.5,1.8,3.6,1,0.5,Moderately acidic
121,0.2,1.7,1.5,33.8,22.2,27.3,18.7,0.1,0.2,23.7,1.3,0.2,12.3,0,0,Strongly alkaline
122,0.3,1.7,1.6,44.7,26.2,22,51.8,0.1,31.12,10.5,1.5,30.12,30.3,0,0,Moderately acidic
123,0.1,4.2,1.6,69.5,52.2,32.7,15.1,0.1,3,50.1,2.2,0.1,21.9,0,0,Moderately alkaline
124,0.2,3.6,1.6,25.8,53.5,25.3,21.2,0.2,1.4,4.7,1.1,30.12,22.8,0,0,Moderately acidic
125,0.4,1.4,1.6,9.1,10,22,68,0.1,1,48.7,6.1,4.6,46.6,0.1,0.1,Moderately alkaline
126,0.2,2.2,1.5,49.7,15.1,24.7,59.2,0.3,0.9,74.2,5.1,1.5,74,0,0,Moderately alkaline
127,0.1,4.7,1.7,9.9,32.2,18,49.8,0.1,2,35.5,4.9,9.2,43.7,0.4,0.2,Moderately alkaline
130,0.1,1.7,1.5,41.7,48.2,19.1,31.8,0.1,0.5,18.2,19.2,1,57.7,0.1,0,Neutral
131,0.5,1.1,1.7,46.7,22,34.7,43.2,0.2,0.9,65.7,3.9,0.5,54.7,0,0,Moderately alkaline
132,0.1,1.1,1.8,34.8,6.2,42,51.8,0.2,0.5,51.5,2.7,0.2,32.3,0,0,Moderately alkaline
134,0.3,2.2,1.3,43.7,42.9,27.3,29.8,0,0.9,8.4,1.9,0.5,18.1,0.1,0,Moderately acidic
14.5,1.3,1.1,1.6,53.6,7.1,22.7,69.2,0.1,1.2,84.1,6.1,3.5,88.7,0.1,0,Moderately alkaline
136,0.5,1.4,1.6,27.8,87.5,1.1,10.5,0,0.2,1.1,2.4,30.12,1.2,0,0,Moderately acidic
138,0.1,1.4,1.7,13.9,34.2,2.2,31.8,0.1,31.12,30.7,5.4,2.2,17.2,0.1,0.1,Strongly alkaline
141,0.3,2.8,1.3,46.3,20,31,49,0.6,2,50.7,7.4,0,62.2,0,0,Moderately alkaline
142,0.3,1.4,1.6,32.2,46.2,27.1,25.8,0.1,31.12,1.5,1.7,30.12,10.8,0,0,Neutral
146,0.2,1.7,1.4,34.8,17.5,27.3,55.2,0.2,0.4,43.2,8.4,0.5,62.6,0,0,Neutral
153,0.7,5.4,1.3,33.3,62.8,19.1,17.2,0,0.4,16.7,4.1,31.12,15.6,0.1,0.1,Moderately alkaline
159,0.3,1.3,1.4,4.2,22.9,34,43.1,0.1,1.3,71.6,10.4,0.3,30.5,0,0,Moderately alkaline
163,0.4,1.2,1.6,1.1,12.9,14,73.1,0.1,1.8,2.5,13.4,1.9,29.6,0.2,0.1,Neutral
165,0.6,1.5,1.5,0,60.2,17.3,22.5,0.1,0.9,19.2,4.8,0.5,26.5,0,0,Moderately alkaline
166,0.3,0.8,1.7,1.1,12.9,17.3,69.8,0.1,1.4,4.3,28.4,1.7,15.8,0.1,0.1,Neutral
167,0.4,2.3,1.4,43.1,38.2,31.1,29.8,0.1,2.2,16.6,3.5,0.8,20,0.1,0,Neutral
168,0.4,1.4,1.3,1.1,14.9,15.3,69.8,0.1,0.4,5.1,32.1,1,41.6,0,0,Moderately alkaline
18.6,1.1,2.9,1.2,8.2,30.8,40,29.2,0.1,2.1,10.7,7.7,3.4,23.2,0.4,0.1,Moderately alkaline
171,31.12,2.3,1.4,19.9,38.2,2.2,27.8,0.2,0.4,2.8,1.3,30.12,3.3,0,0,Strongly acidic
173,0.3,0.3,1.3,2,42.2,8,49.8,0.2,0.5,2.5,0.9,30.12,3.2,0,0,Strongly acidic
176,0.3,1.2,1.4,27.3,55.5,19.1,24.5,0.1,0.4,30.12,1.5,1.7,2.7,1.6,0.6,Moderately acidic
177,0.8,2.4,1.6,16.8,62.2,12.7,25.1,0.1,0.3,4.2,0.9,0.2,8.8,0.1,0,Neutral
179,0.4,0.5,1.3,0,48.2,31.1,19.8,0.1,0.7,29.5,18.2,0.3,12.6,0,0,Neutral
180,0.6,2.2,1.3,8.1,48.2,30.7,21.1,0.1,0.7,72.2,8.4,11.6,17.1,0.2,0.7,Moderately alkaline
183,0.6,2.8,1.3,41.2,38.2,28,33.8,0.1,1.8,48.7,29.3,2.3,63.2,0.1,0,Moderately acidic
2.7,1.1,4.1,1.2,45.1,60.9,19.1,19.1,0.1,1.3,4.2,1.1,30.12,9.2,0,0,Neutral
186,0.4,1.6,1.4,2,32.2,16,51.8,0.5,1.1,3.5,1.6,0.4,19.8,0.1,0,Neutral
187,0.7,2.7,1.3,NA,26.2,32,41.8,0.1,0.7,18.8,18.2,1.4,58.6,0.1,0,Neutral
